name,ability,hp,atk,def,spdef,spatk,spd,gender,evolution_level,evolves_into,method,egg_group
annihilape,"vital-spirit, inner-focus, defiant",110,115,80,90,50,90,50% Male, 50% Female,28,primeape,level-up,"ground"
clodsire,"poison-point, water-absorb, unaware",130,75,60,100,45,20,50% Male, 50% Female,20,quagsire,level-up,"water1, ground"
farigiraf,"cud-chew, armor-tail, sap-sipper",120,90,70,70,110,60,50% Male, 50% Female,,farigiraf,level-up,"ground"
dudunsparce-two-segment,"serene-grace, run-away, rattled",125,100,80,75,85,55,50% Male, 50% Female,,dudunsparce,level-up,"ground"
kingambit,"defiant, supreme-overlord, pressure",100,135,120,85,60,50,50% Male, 50% Female,52,bisharp,level-up,"humanshape"
great-tusk,"protosynthesis",115,131,131,53,53,87,Genderless,,,,"no-eggs"
scream-tail,"protosynthesis",115,65,99,115,65,111,Genderless,,,,"no-eggs"
brute-bonnet,"protosynthesis",111,127,99,99,79,55,Genderless,,,,"no-eggs"
flutter-mane,"protosynthesis",55,55,55,135,135,135,Genderless,,,,"no-eggs"
slither-wing,"protosynthesis",85,135,79,105,85,81,Genderless,,,,"no-eggs"
sandy-shocks,"protosynthesis",85,81,97,85,121,101,Genderless,,,,"no-eggs"
iron-treads,"quark-drive",90,112,120,70,72,106,Genderless,,,,"no-eggs"
iron-bundle,"quark-drive",56,80,114,60,124,136,Genderless,,,,"no-eggs"
iron-hands,"quark-drive",154,140,108,68,50,50,Genderless,,,,"no-eggs"
iron-jugulis,"quark-drive",94,80,86,80,122,108,Genderless,,,,"no-eggs"
iron-moth,"quark-drive",80,70,60,110,140,110,Genderless,,,,"no-eggs"
iron-thorns,"quark-drive",100,134,110,84,70,72,Genderless,,,,"no-eggs"
frigibax,"thermal-exchange, ice-body",65,75,45,45,35,55,50% Male, 50% Female,35,arctibax,level-up,"dragon, mineral"
arctibax,"thermal-exchange, ice-body",90,95,66,65,45,62,50% Male, 50% Female,35,arctibax,level-up,"dragon, mineral"
baxcalibur,"thermal-exchange, ice-body",115,145,92,86,75,87,50% Male, 50% Female,35,arctibax,level-up,"dragon, mineral"
gimmighoul,"rattled",45,30,70,70,75,10,Genderless,,gholdengo,other,"no-eggs"
gholdengo,"good-as-gold",87,60,95,91,133,84,Genderless,,gholdengo,other,"no-eggs"
wo-chien,"tablets-of-ruin",85,85,100,135,95,70,Genderless,,,,"no-eggs"
chien-pao,"sword-of-ruin",80,120,80,65,90,135,Genderless,,,,"no-eggs"
ting-lu,"vessel-of-ruin",155,110,125,80,55,45,Genderless,,,,"no-eggs"
chi-yu,"beads-of-ruin",55,80,80,120,135,100,Genderless,,,,"no-eggs"
roaring-moon,"protosynthesis",105,139,71,101,55,119,Genderless,,,,"no-eggs"
iron-valiant,"quark-drive",74,130,90,60,120,116,Genderless,,,,"no-eggs"
koraidon,"orichalcum-pulse",100,135,115,100,85,135,Genderless,,,,"no-eggs"
miraidon,"hadron-engine",100,85,100,115,135,135,Genderless,,,,"no-eggs"
walking-wake,"protosynthesis",99,83,91,83,125,109,Genderless,,,,"no-eggs"
iron-leaves,"quark-drive",90,130,88,108,70,104,Genderless,,,,"no-eggs"
dipplin,"supersweet-syrup, gluttony, sticky-hold",80,80,110,80,95,40,Genderless,,flapple,use-item,"plant, dragon"
poltchageist,"hospitality, heatproof",40,45,45,54,74,50,Genderless,,sinistcha,,"mineral, indeterminate"
sinistcha,"hospitality, heatproof",71,60,106,80,121,70,Genderless,,sinistcha,,"mineral, indeterminate"
okidogi,"toxic-chain, guard-dog",88,128,115,86,58,80,Genderless,,,,"no-eggs"
munkidori,"toxic-chain, frisk",88,75,66,90,130,106,Genderless,,,,"no-eggs"
fezandipiti,"toxic-chain, technician",88,91,82,125,70,99,Genderless,,,,"no-eggs"
ogerpon,"defiant",80,120,84,96,60,110,Genderless,,,,"no-eggs"
archaludon,"stamina, sturdy, stalwart",90,105,130,65,125,85,50% Male, 50% Female,,archaludon,,"mineral, dragon"
hydrapple,"supersweet-syrup, regenerator, sticky-hold",106,80,110,80,120,44,50% Male, 50% Female,,flapple,use-item,"plant, dragon"
gouging-fire,"protosynthesis",105,115,121,93,65,91,Genderless,,,,"no-eggs"
raging-bolt,"protosynthesis",125,73,91,89,137,75,Genderless,,,,"no-eggs"
iron-boulder,"quark-drive",90,120,80,108,68,124,Genderless,,,,"no-eggs"
iron-crown,"quark-drive",90,72,100,108,122,98,Genderless,,,,"no-eggs"
terapagos,"tera-shift",90,65,85,85,65,60,Genderless,,,,"no-eggs"
pecharunt,"poison-puppeteer",88,88,160,88,88,88,Genderless,,,,"no-eggs"
